"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2020","27.790","27.265","27.990","27.050","103.77K","2.18%"
"08/27/2020","27.198","27.775","28.195","26.705","110.13K","-1.47%"
"08/26/2020","27.604","26.760","27.795","26.310","63.98K","4.46%"
"08/25/2020","26.426","26.810","27.015","26.290","36.05K","-1.28%"
"08/24/2020","26.768","27.040","27.495","26.480","36.47K","-0.41%"
"08/21/2020","26.877","27.500","27.775","26.250","37.42K","-1.55%"
"08/20/2020","27.301","26.920","27.770","26.810","26.26K","-0.67%"
"08/19/2020","27.486","27.980","28.270","26.685","33.83K","-2.68%"
"08/18/2020","28.243","27.805","28.775","27.360","33.32K","1.47%"
"08/17/2020","27.834","26.755","27.880","26.100","28.82K","6.00%"
"08/14/2020","26.258","27.825","28.030","25.960","28.23K","-5.98%"
"08/13/2020","27.929","25.835","28.060","25.550","37.70K","6.68%"
"08/12/2020","26.179","25.090","26.540","23.800","37.33K","-0.27%"
"08/11/2020","26.250","29.440","29.645","24.680","39.04K","-10.97%"
"08/10/2020","29.483","28.800","29.740","28.250","39.53K","6.07%"
"08/07/2020","27.797","29.310","30.190","27.690","41.80K","-3.08%"
"08/06/2020","28.679","27.340","29.480","27.200","23.23K","5.67%"
"08/05/2020","27.141","26.510","27.495","25.880","16.56K","3.32%"
"08/04/2020","26.268","24.760","26.490","24.480","15.67K","6.56%"
"08/03/2020","24.652","24.925","25.510","24.405","11.55K","0.75%"
"07/31/2020","24.469","23.900","24.905","23.670","14.80K","3.57%"
"07/30/2020","23.626","24.735","24.805","23.280","15.30K","-3.22%"
"07/29/2020","24.411","24.580","25.120","23.435","138.90K","-0.57%"
"07/28/2020","24.551","24.960","26.515","22.705","15.34K","-0.79%"
"07/27/2020","24.747","23.195","25.050","23.185","12.82K","7.22%"
"07/24/2020","23.080","23.060","23.400","22.800","5.75K","-0.55%"
"07/23/2020","23.208","23.610","23.875","22.695","9.18K","-0.67%"
"07/22/2020","23.364","21.900","23.630","21.880","12.55K","7.39%"
"07/21/2020","21.756","20.525","21.915","20.515","9.33K","6.71%"
"07/20/2020","20.388","19.915","20.535","19.850","3.95K","2.14%"
"07/17/2020","19.961","19.705","19.990","19.525","3.78K","1.08%"
"07/16/2020","19.747","20.025","20.045","19.650","2.29K","-0.93%"
"07/15/2020","19.933","19.845","20.005","19.700","2.01K","1.18%"
"07/14/2020","19.701","19.635","19.845","19.415","3.33K","-1.31%"
"07/13/2020","19.963","19.290","19.980","19.290","3.98K","3.81%"
"07/10/2020","19.231","19.190","19.365","19.095","2.61K","0.42%"
"07/09/2020","19.150","19.335","19.625","19.025","3.95K","-1.02%"
"07/08/2020","19.347","18.820","19.395","18.785","4.43K","2.38%"
"07/07/2020","18.898","18.810","18.905","18.435","2.68K","0.66%"
"07/06/2020","18.774","18.445","18.965","18.445","2.68K","1.03%"
"07/03/2020","18.582","18.270","18.780","18.230","63.13K","0.38%"
"07/02/2020","18.511","18.490","18.595","18.225","2.68K","0.57%"
"07/01/2020","18.406","18.735","19.005","18.265","2.94K","-2.11%"
"06/30/2020","18.803","18.265","18.815","18.190","2.42K","3.11%"
"06/29/2020","18.235","18.325","18.440","18.110","1.64K","0.37%"
"06/26/2020","18.168","18.075","18.255","17.680","37.22K","0.65%"
"06/25/2020","18.051","17.720","18.085","17.650","24.67K","1.35%"
"06/24/2020","17.811","18.275","18.425","17.595","26.08K","-2.35%"
"06/23/2020","18.239","17.935","18.310","17.905","36.82K","0.91%"
"06/22/2020","18.074","18.080","18.360","17.950","23.01K","0.29%"
"06/19/2020","18.022","17.660","18.205","17.640","14.62K","1.99%"
"06/18/2020","17.670","17.860","18.070","17.565","10.99K","-1.47%"
"06/17/2020","17.934","17.755","17.975","17.670","12.42K","0.76%"
"06/16/2020","17.798","17.680","17.930","17.610","9.97K","1.40%"
"06/15/2020","17.552","17.700","17.775","17.175","11.48K","-0.51%"
"06/12/2020","17.642","17.925","18.030","17.625","8.62K","-2.32%"
"06/11/2020","18.061","18.515","18.565","17.770","18.02K","0.49%"
"06/10/2020","17.973","17.950","18.585","17.865","19.50K","-0.07%"
"06/09/2020","17.986","18.160","18.180","17.895","15.58K","-0.62%"
"06/08/2020","18.098","17.695","18.170","17.685","17.90K","2.43%"
"06/05/2020","17.668","18.150","18.185","17.550","15.34K","-2.96%"
